dir_name: bin, DIR, size: 461.87 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv
file_name: wheel3, ext: 11, size: 0.25 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: wheel3, size: 0.25 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: activate, ext: ps1, size: 1.71 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: python3, size: 149.05 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: python, size: 149.05 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: pip3, size: 0.27 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: deactivate, ext: nu, size: 0.67 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: pip-3, ext: 11, size: 0.27 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: activate, ext: fish, size: 2.98 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: wheel, size: 0.25 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: python3, ext: 11, size: 149.05 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: wheel-3, ext: 11, size: 0.25 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: activate_this, ext: py, size: 1.15 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: pip, size: 0.27 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: pip3, ext: 11, size: 0.27 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: , ext: activate, size: 2.13 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: activate, ext: nu, size: 2.57 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
file_name: activate, ext: csh, size: 1.43 KiB, parent_dir: /Users/pavelvatsek/PycharmProjects/pythonProject/PT15/venv/bin
